NodeID,Code,Latitude,Longitude,Height,LinkID1,LinkID2,LinkID3,LinkID4,LinkID5,LinkID6
00001B000000000309AA04A59CFC1A03,2,35.11.9.7412,136.56.44.0204,2,00001B000000000309AA04A59CFC1A01,00001B000000000309AA04A59CFC1A02,00001B000000000309AA10A59CC51A01,,,
00001B000000000309AA10A59CC51A03,2,35.11.12.1443,136.56.33.0339,2,00001B000000000309AA10A59CC51A02,00001B000000000309AA11A59CC01A01,00001B000000000309AA10A59CC51A01,,,
00001B000000000309AA11A59CC01A03,2,35.11.12.3634,136.56.32.0326,2,00001B000000000309AA11A59CC01A01,00001B000000000309AA11A59CBF9A01,00001B000000000309AA11A59CC01A02,00001B000000000309AA12A59CC01A01,,
00001B000000000309AA39259D129A03,2,35.11.20.2723,136.56.48.52,2,00001B000000000309AA39259D129A01,00001B000000000309AA3A259D129A02,00001B000000000309AA39259D129A02,,,
00001B000000000309AA38A59D159A01,2,35.11.20.1343,136.56.49.1963,2,00001B000000000309AA39259D129A01,,,,,
00001B000000000309AA3A259D129A03,2,35.11.20.4384,136.56.48.5683,2,00001B000000000309AA3A259D129A01,00001B000000000309AA3A259D129A02,00001B000000000309AA3DA59D139A02,,,
00001B000000000309AA3A259D139A01,2,35.11.20.4125,136.56.48.701,2,00001B000000000309AA3A259D129A01,,,,,
00001B000000000309AA3DA59D139A03,2,35.11.21.1889,136.56.48.7862,2,00001B000000000309AA3DA59D139A01,00001B000000000309AA45259D161A01,00001B000000000309AA3DA59D139A02,,,
00001B000000000309AA3DA59D151A01,2,35.11.21.1487,136.56.49.009,2,00001B000000000309AA3DA59D139A01,,,,,
00001B000000000309AA22A59D051A02,2,35.11.15.7235,136.56.45.826,2,00001B000000000309AA22A59D051A01,,,,,
00001B000000000309AA21A59D0A1A02,2,35.11.15.5093,136.56.46.8927,2,00001B000000000309AA21A59D0A1A01,00001B000000000309AA22A59D051A01,,,,
00001B000000000309AA21259D0B9A02,2,35.11.15.463,136.56.47.1233,2,00001B000000000309AA21259D0B9A01,00001B000000000309AA2C259D0E9A01,00001B000000000309AA21A59D0A1A01,,,
00001B000000000309AA20A59D0B9A02,2,35.11.15.3936,136.56.47.1031,2,00001B000000000309AA21259D0B9A01,00001B000000000309AA20A59D0B9A01,,,,
00001B000000000309AA2C259D0E9A02,2,35.11.17.6455,136.56.47.7571,2,00001B000000000309AA2C259D0E9A01,00001B000000000309AA2F259D0F9A01,,,,
00001B000000000309AA2F259D0F9A02,2,35.11.18.2047,136.56.47.9195,2,00001B000000000309AA2F259D0F9A01,00001B000000000309AA39259D129A02,,,,
00001B000000000309AA45259D161A02,2,35.11.22.6593,136.56.49.2133,2,00001B000000000309AA45259D161A01,00001B000000000309AA46A59D161A01,,,,
00001B000000000309AA46A59D161A02,2,35.11.22.9308,136.56.49.2922,2,00001B000000000309AA46A59D161A01,00001B000000000309AA47A59D169A01,,,,
00001B000000000309AA47A59D169A04,2,35.11.23.1044,136.56.49.3426,2,00001B000000000309AA47A59D169A01,00001B000000000309AA47A59D169A02,00001B000000000309AA47A59D169A03,00001B000000000309AA4B259D189A03,,
00001B000000000309AA47A59D169A05,2,35.11.23.1452,136.56.49.3547,2,00001B000000000309AA47A59D1699C1,00001B000000000309AA47A59D169A03,,,,
00001B000000000309AA4AA59D17FFC2,2,35.11.23.7023,136.56.49.5107,0,00001B000000000309AA47A59D1699C1,00001B000000000309AA4AA59D17FFC1,,,,
00001B000000000309AA4E259D1B1A03,2,35.11.24.4666,136.56.50.2451,2,00001B000000000309AA4E259D1B1A01,00001B000000000309AA4DA59D1B9A01,00001B000000000309AA4FA59D1B9A01,,,
00001B000000000309AA4B259D18FFC1,2,35.11.23.8137,136.56.49.7289,0,00001B000000000309AA4B259D189A02,00001B000000000309AA4B259D189A03,00001B000000000309AA4B259D17FFC1,00001B000000000309AA4B259D189A01,,
00001B000000000309AA4AA59D199881,2,35.11.23.7586,136.56.49.9967,1,00001B000000000309AA4AA59D1998C1,00001B000000000309AA4B259D189A01,,,,
00001B000000000309AA4B259D189A04,2,35.11.23.8589,136.56.49.7426,2,00001B000000000309AA4B259D189A02,00001B000000000309AA4BA59D161A01,00001B000000000309AA4E259D1B1A02,,,
00001B000000000309AA4DA59D0F9A03,2,35.11.24.344,136.56.47.9201,2,00001B000000000309AA4E259D0F9A01,00001B000000000309AA4DA59D0F9A01,,,,
00001B000000000309AA4BA59D161A02,2,35.11.23.9683,136.56.49.224,2,00001B000000000309AA4DA59D0F9A01,00001B000000000309AA4BA59D161A01,,,,
00001B000000000309AA4DA59D0F9A04,2,35.11.24.3838,136.56.47.9513,2,00001B000000000309AA4DA59D0F9A02,00001B000000000309AA4EA59D0F9A01,,,,
