ExitID,NodeID,FacilityID,Name,出入口の有効幅員,扉の種類,段差
00001B000000000309A8632598B19981,00001B000000000309A8632598B1FFC1,00001B000000000309A85F2598B81B81,ラ・バーモささしま出入口,2,1,0
00001B000000000309A8C42598C01981,00001B000000000309A8C42598C07FC2,,サンロードＳ６出入口,3,0,0
00001B000000000309A8C52598B81981,00001B000000000309A8C52598B87FC2,,サンロード３出入口,2,0,2
00001B000000000309A8DE2598B71981,00001B000000000309A8DE2598B77FC2,,サンロードＳ２出入口,2,0,3
00001B000000000309A8D82598B91981,00001B000000000309A8D82598B97FC2,,サンロードＳ３出入口,2,0,3
00001B000000000309A8CDA598BC9981,00001B000000000309A8CDA598BCFFC2,,サンロードＳ５出入口,2,0,3
00001B000000000309A8CD2598CC9981,00001B000000000309A8CD2598CCFFC2,,ミヤコ地下街１出入口,1,0,3
00001B000000000309A8C8A598CD9981,00001B000000000309A8C8A598CDFFC2,,ミヤコ地下街２出入口,2,0,2
00001B000000000309A8CB2598DC9981,00001B000000000309A8CB2598DCFFC2,,ミヤコ地下街４出入口,2,0,2
00001B000000000309A8D1A598DE1981,00001B000000000309A8D1A598DE18C1,,ミヤコ地下街出入口,3,0,3
00001B000000000309A8DFA599929981,00001B000000000309A8DFA5999298C2,00001B000000000309A8D025999B1A02,伏見駅１０出入口,3,0,3
00001B000000000309A8CAA599969981,00001B000000000309A8CAA5999698C3,00001B000000000309A8D025999B1A02,伏見駅９出入口,3,0,3
00001B000000000309A8CAA5999E9981,00001B000000000309A8CAA5999E98C3,00001B000000000309A8D025999B1A02,伏見駅２出入口,3,0,3
00001B000000000309A8C5A599941981,00001B000000000309A8C5A599947FC1,00001B000000000309A8D025999B1A02,伏見駅８出入口,3,0,3
00001B000000000309A8C1A599949981,00001B000000000309A8C1A59994FFC1,00001B000000000309A8D025999B1A02,伏見駅７出入口,3,0,3
00001B000000000309A8BD2599981981,00001B000000000309A8BD2599987FC1,00001B000000000309A8D025999B1A02,伏見駅６出入口,3,0,3
00001B000000000309A8EDA59A8C9981,00001B000000000309A8EDA59A8CFFC1,00001B000000000309A8F4259A942181,愛知芸術文化センター出入口,3,1,0
00001B000000000309A8E9259A749981,00001B000000000309A8E9259A74FFC1,00001B000000000309A8E2A59A619A82,栄駅４Ａ出入口,3,0,2
00001B000000000309A908259A689981,00001B000000000309A908259A68FFC1,00001B000000000309A8E2A59A619A82,セントラルパークゲート７Ａ出入口,3,0,3
00001B000000000309A903A59A6A9981,00001B000000000309A903A59A6AFFC2,00001B000000000309A8F7A59A739A01,オアシス２１出入口,3,0,0
00001B000000000309A907259A619981,00001B000000000309A907259A61FFC2,00001B000000000309A8E2A59A619A82,セントラルパークゲート３１出入口,3,0,1
00001B000000000309A901A59A691981,00001B000000000309A901A59A697FC2,00001B000000000309A8E2A59A619A82,セントラルパークゲート７Ｂ出入口,3,0,3
00001B000000000309A8FA259A6B1981,00001B000000000309A8FA259A6B7FC1,00001B000000000309A8F7A59A739A01,オアシス２１出入口,3,0,0
00001B000000000309A8FA259A6A1981,00001B000000000309A8FA259A6A7FC2,00001B000000000309A8E2A59A619A82,セントラルパークゲート９Ａ出入口,3,0,3
00001B000000000309A8F6A59A6C1981,00001B000000000309A8F6A59A6C7FC1,00001B000000000309A8F7A59A739A01,オアシス２１出入口,3,0,0
00001B000000000309A8F3259A6B9981,00001B000000000309A8F3259A6BFFC1,00001B000000000309A8F7A59A739A01,オアシス２１出入口,3,0,0
00001B000000000309A8F1259A6C1981,00001B000000000309A8F1259A6C7FC1,00001B000000000309A8F7A59A739A01,オアシス２１出入口,3,0,0
00001B000000000309A8F1259A6B1981,00001B000000000309A8F1259A6B7FC2,00001B000000000309A8E2A59A619A82,セントラルパークゲート９Ｂ出入口,3,0,3
00001B000000000309A8EC259A6C9981,00001B000000000309A8EC259A6CFFC1,00001B000000000309A8F7A59A739A01,オアシス２１出入口,3,0,0
00001B000000000309A8EC259A6B9981,00001B000000000309A8EC259A6BFFC2,00001B000000000309A8E2A59A619A82,栄町駅出入口,3,0,2
00001B000000000309A8FD259A629981,00001B000000000309A8FD259A62FFC2,00001B000000000309A8E2A59A619A82,セントラルパークゲート３３・３５出入口,3,0,0
00001B000000000309A8EE259A639981,00001B000000000309A8EE259A63FFC1,00001B000000000309A8E2A59A619A82,栄北２出入口,3,0,2
00001B000000000309A8EA259A671981,00001B000000000309A8EA259A677FC2,00001B000000000309A8E2A59A619A82,名鉄栄町駅２出入口,3,0,2
00001B000000000309A8E9A59A6B9981,00001B000000000309A8E9A59A6BFFC1,00001B000000000309A8E2A59A619A82,栄駅４出入口,3,0,2
00001B000000000309A8FCA59A5C1981,00001B000000000309A8FCA59A5C7FC2,00001B000000000309A8E2A59A619A82,セントラルパーク３２・３４出入口,3,0,2
00001B000000000309A907259A549981,00001B000000000309A907259A5498C1,00001B000000000309A8E2A59A619A82,セントラルパークゲート８Ａ出入口,3,0,3
00001B000000000309A8FD259A559981,00001B000000000309A8FD259A55FFC1,00001B000000000309A8E2A59A619A82,セントラルパークゲート８Ｂ出入口,3,0,3
00001B000000000309A8F7259A569981,00001B000000000309A8F7259A56FFC2,00001B000000000309A8E2A59A619A82,セントラルパークゲート１０Ａ出入口,3,0,3
00001B000000000309A8F0A59A4F1981,00001B000000000309A8F0A59A4F7FC1,00001B000000000309A8F0259A4E9B01,教育館出入口,2,1,0
00001B000000000309A8EFA59A571981,00001B000000000309A8EFA59A577FC2,00001B000000000309A8E2A59A619A82,セントラルパークゲート１０Ｂ出入口,3,0,3
00001B000000000309A8E9259A5B9981,00001B000000000309A8E9259A5BFFC1,00001B000000000309A8E2A59A619A82,栄北１出入口,3,0,3
00001B000000000309A8E8259A579981,00001B000000000309A8E8259A57FFC2,00001B000000000309A8E2A59A619A82,栄駅３出入口,3,0,3
00001B000000000309A8E7259A449981,00001B000000000309A8E7259A44FFC2,00001B000000000309A8E2A59A619A82,栄駅２出入口,2,0,3
00001B000000000309A8E6A59A3E1981,00001B000000000309A8E6A59A3E7FC2,00001B000000000309A8E2A59A619A82,栄駅１出入口,2,0,3
00001B000000000309A8DE259A589981,00001B000000000309A8DE259A58FFC5,00001B000000000309A8E2A59A619A82,栄駅６出入口,3,0,3
00001B000000000309A8DFA59A6D1981,00001B000000000309A8DFA59A6D7FC5,00001B000000000309A8E2A59A619A82,栄駅５出入口,3,0,3
00001B000000000309A8DBA59A6F1981,00001B000000000309A8DBA59A6F7FC1,,明治安田生命名古屋ビル２出入口,3,0,3
00001B000000000309A8D7A59A5F1981,00001B000000000309A8D7A59A5F18C1,00001B000000000309A8E2A59A619A82,栄駅１０出入口,3,0,1
00001B000000000309A8D8259A599981,00001B000000000309A8D8259A59FFC1,00001B000000000309A8E2A59A619A82,栄駅９出入口,3,0,3
